date,infected
3/1/2020,46
3/2/2020,114
3/3/2020,91
3/4/2020,106
3/5/2020,146
3/6/2020,145
3/7/2020,278
3/8/2020,261
3/9/2020,380
3/10/2020,582
3/11/2020,582
3/12/2020,789
3/13/2020,969
3/14/2020,1112
3/15/2020,1225
3/16/2020,1449
3/17/2020,2271
3/18/2020,3567
3/19/2020,5491
3/20/2020,5426
3/21/2020,8153
3/22/2020,7725
3/23/2020,10199
3/24/2020,11140
3/25/2020,15055
3/26/2020,16838
3/27/2020,17704
3/28/2020,20605
3/29/2020,19179
3/30/2020,21840
3/31/2020,23244
4/1/2020,26232
4/2/2020,29211
4/3/2020,35197
4/4/2020,33921
4/5/2020,24494
4/6/2020,29802
4/7/2020,30292
4/8/2020,32587
4/9/2020,34207
4/10/2020,33291
4/11/2020,50480
4/12/2020,8424
4/13/2020,24846
4/14/2020,25759
4/15/2020,29863
4/16/2020,33336
4/17/2020,31257
4/18/2020,28412
4/19/2020,25231
4/20/2020,25638
4/21/2020,25783
4/22/2020,28439
4/23/2020,31790
4/24/2020,37414
4/25/2020,34581
4/26/2020,25682
4/27/2020,22714
4/28/2020,25565
4/29/2020,27934
4/30/2020,29969
5/1/2020,32877
5/2/2020,30503
5/3/2020,24829
5/4/2020,21473
5/5/2020,24303
5/6/2020,24232
5/7/2020,28185
5/8/2020,27320
5/9/2020,25349
5/10/2020,20335
5/11/2020,17570
5/12/2020,22480
5/13/2020,21679
5/14/2020,27317
5/15/2020,25677
5/16/2020,24855
5/17/2020,18724
5/18/2020,21325
5/19/2020,21677
5/20/2020,22732
5/21/2020,26276
5/22/2020,23537
5/23/2020,22682
5/24/2020,20497
5/25/2020,18022
5/26/2020,17578
5/27/2020,21698
5/28/2020,23839
5/29/2020,25437
5/30/2020,22895
5/31/2020,18916
6/1/2020,20743
6/2/2020,21795
6/3/2020,21372
6/4/2020,21923
6/5/2020,28884
6/6/2020,23787
6/7/2020,18348
6/8/2020,16564
6/9/2020,19452
6/10/2020,22023
6/11/2020,23565
6/12/2020,26001
6/13/2020,26917
6/14/2020,20969
6/15/2020,19118
6/16/2020,28107
6/17/2020,27248
6/18/2020,30151
6/19/2020,34333
6/20/2020,34883
6/21/2020,28505
6/22/2020,27668
6/23/2020,38164
6/24/2020,40871
6/25/2020,44089
6/26/2020,49637
6/27/2020,47534
6/28/2020,41884
6/29/2020,36081
6/30/2020,49356
7/1/2020,54015
7/2/2020,57798
7/3/2020,60629
7/4/2020,51573
7/5/2020,43068
7/6/2020,44394
7/7/2020,57283
7/8/2020,63439
7/9/2020,65901
7/10/2020,70273
7/11/2020,65427
7/12/2020,59600
7/13/2020,54306
7/14/2020,69592
7/15/2020,66095
7/16/2020,72424
7/17/2020,79331
7/18/2020,66574
7/19/2020,60782
7/20/2020,54835
7/21/2020,64615
7/22/2020,66463
7/23/2020,67313
7/24/2020,73458
7/25/2020,64260
7/26/2020,55739
7/27/2020,50689
7/28/2020,60756
7/29/2020,63202
7/30/2020,65893
7/31/2020,66502
8/1/2020,59798
8/2/2020,49528
8/3/2020,40209
8/4/2020,54754
8/5/2020,55252
8/6/2020,54366
8/7/2020,60095
8/8/2020,52753
8/9/2020,45150
8/10/2020,36209
8/11/2020,49679
8/12/2020,51491
8/13/2020,49176
8/14/2020,52260
8/15/2020,48517
8/16/2020,36977
8/17/2020,34401
8/18/2020,41333
8/19/2020,43828
8/20/2020,42300
8/21/2020,46203
8/22/2020,42821
8/23/2020,32267
8/24/2020,33164
8/25/2020,39057
8/26/2020,45213
8/27/2020,44563
8/28/2020,44809
8/29/2020,41767
8/30/2020,33540
8/31/2020,31036
9/1/2020,41853
9/2/2020,39771
9/3/2020,42444
9/4/2020,47941
9/5/2020,41460
9/6/2020,31063
9/7/2020,25673
9/8/2020,24677
9/9/2020,35269
9/10/2020,36835
9/11/2020,44574
9/12/2020,38249
9/13/2020,32468
9/14/2020,33192
9/15/2020,38451
9/16/2020,42440
9/17/2020,44011
9/18/2020,45360
9/19/2020,42427
9/20/2020,32004
9/21/2020,39593
9/22/2020,51663
9/23/2020,39852
9/24/2020,44104
9/25/2020,55144
9/26/2020,44407
9/27/2020,31825
9/28/2020,35646
9/29/2020,39461
9/30/2020,46712
10/1/2020,47052
10/2/2020,47726
10/3/2020,50407
10/4/2020,34687
10/5/2020,37091
10/6/2020,44298
10/7/2020,51761
10/8/2020,56583
10/9/2020,56974
10/10/2020,50182
10/11/2020,44086
10/12/2020,46362
10/13/2020,52468
10/14/2020,58050
10/15/2020,67548
10/16/2020,67387
10/17/2020,57534
10/18/2020,48202
10/19/2020,56674
10/20/2020,59662
10/21/2020,63244
10/22/2020,75936
10/23/2020,80334
10/24/2020,69538
10/25/2020,63225
10/26/2020,71382
10/27/2020,71848
10/28/2020,83523
10/29/2020,88862
10/30/2020,95947
10/31/2020,82227
11/1/2020,142407
11/2/2020,92122
11/3/2020,99663
11/4/2020,112362
11/5/2020,132624
11/6/2020,129276
11/7/2020,112270
11/8/2020,107498
11/9/2020,133059
11/10/2020,146665
11/11/2020,156981
11/12/2020,151650
11/13/2020,177185
11/14/2020,171411
11/15/2020,133451
11/16/2020,153760
11/17/2020,157894
11/18/2020,168939
11/19/2020,196681
11/20/2020,185219
11/21/2020,208916
11/22/2020,138358
11/23/2020,168416
11/24/2020,180187
11/25/2020,186488
11/26/2020,126984
11/27/2020,186464
11/28/2020,171750
11/29/2020,123827
11/30/2020,155954
12/1/2020,206300
12/2/2020,223298
12/3/2020,223159
12/4/2020,234466
12/5/2020,213214
12/6/2020,166278
12/7/2020,180338
12/8/2020,236332
12/9/2020,235517
12/10/2020,228669
12/11/2020,238084
12/12/2020,219055
12/13/2020,177815
12/14/2020,189011
12/15/2020,212261
12/16/2020,233496
12/17/2020,233208
12/18/2020,238182
12/19/2020,215592
12/20/2020,163603
12/21/2020,161286
12/22/2020,194123
12/23/2020,211914
12/24/2020,193047
12/25/2020,95538
12/26/2020,128565
12/27/2020,126497
12/28/2020,242038
12/29/2020,259218
12/30/2020,282351
12/31/2020,236987
1/1/2021,165207
1/2/2021,232897
1/3/2021,226866
1/4/2021,175367
1/5/2021,266681
1/6/2021,282086
1/7/2021,277960
1/8/2021,291570
1/9/2021,232746
1/10/2021,200736
1/11/2021,182678
1/12/2021,216057
1/13/2021,227263
1/14/2021,242899
1/15/2021,224358
1/16/2021,197195
1/17/2021,161290
1/18/2021,140780
1/19/2021,135719
1/20/2021,219722
1/21/2021,196844
1/22/2021,182317
1/23/2021,166035
1/24/2021,129272
1/25/2021,120453
1/26/2021,146610
1/27/2021,155644
1/28/2021,152984
1/29/2021,159779
1/30/2021,139169
1/31/2021,106676
2/1/2021,117570
2/2/2021,117973
2/3/2021,118268
2/4/2021,120241
2/5/2021,127499
2/6/2021,94769
2/7/2021,98113
2/8/2021,74147
2/9/2021,93429
2/10/2021,96465
2/11/2021,97827
2/12/2021,93812
2/13/2021,82891
2/14/2021,63289
2/15/2021,50409
2/16/2021,56597
2/17/2021,68612
2/18/2021,64831
2/19/2021,70916
2/20/2021,67012
2/21/2021,53200
2/22/2021,50793
2/23/2021,67443
2/24/2021,73543
2/25/2021,75459
2/26/2021,61012
2/27/2021,76576
2/28/2021,50026
3/1/2021,46138
3/2/2021,54362
3/3/2021,67966
3/4/2021,64033
3/5/2021,64670
3/6/2021,53819
3/7/2021,41196
3/8/2021,43153
3/9/2021,54484
3/10/2021,57073
3/11/2021,57316
3/12/2021,57680
3/13/2021,57850
3/14/2021,44123
3/15/2021,45206
3/16/2021,51805
3/17/2021,57427
3/18/2021,56895
3/19/2021,56026
3/20/2021,49165
3/21/2021,37682
3/22/2021,44308
3/23/2021,54678
3/24/2021,99130
3/25/2021,59722
3/26/2021,70936
3/27/2021,62255
3/28/2021,60685
3/29/2021,57457
3/30/2021,54505
3/31/2021,74408
4/1/2021,75198
4/2/2021,68069
4/3/2021,62230
4/4/2021,37293
4/5/2021,61177
4/6/2021,78603
4/7/2021,74891
4/8/2021,77547
4/9/2021,79408
4/10/2021,65933
4/11/2021,43052
4/12/2021,59543
4/13/2021,79666
4/14/2021,75374
4/15/2021,71027
4/16/2021,72962
4/17/2021,65427
4/18/2021,41987
4/19/2021,57027
4/20/2021,60039
4/21/2021,63964
4/22/2021,62440
4/23/2021,62481
4/24/2021,49705
4/25/2021,34768
4/26/2021,42976
4/27/2021,48649
4/28/2021,57749
4/29/2021,56780
4/30/2021,53821
5/1/2021,47358
5/2/2021,27614
5/3/2021,43881
5/4/2021,42949
5/5/2021,45371
5/6/2021,44460
5/7/2021,45012
5/8/2021,34926
5/9/2021,19473
5/10/2021,33902
5/11/2021,34282
5/12/2021,37238
5/13/2021,37165
5/14/2021,39597
5/15/2021,27787
5/16/2021,16684
5/17/2021,26428
5/18/2021,26856
5/19/2021,30250
5/20/2021,29786
5/21/2021,27238
5/22/2021,17757
5/23/2021,12697
5/24/2021,22356
5/25/2021,24157
5/26/2021,23444
5/27/2021,22705
5/28/2021,22997
5/29/2021,11164
5/30/2021,6633
5/31/2021,5860
6/1/2021,22585
6/2/2021,17619
6/3/2021,16934
6/4/2021,16928
6/5/2021,12171
6/6/2021,5729
6/7/2021,15642
6/8/2021,12393
6/9/2021,18973
6/10/2021,14107
6/11/2021,-13697
6/12/2021,6293
6/13/2021,4540
6/14/2021,13419
6/15/2021,11429
6/16/2021,13371
6/17/2021,11055
6/18/2021,19754
6/19/2021,6947
6/20/2021,3370
6/21/2021,12908
6/22/2021,10820
6/23/2021,13952
6/24/2021,12602
6/25/2021,22257
6/26/2021,6538
6/27/2021,3822
6/28/2021,17777
6/29/2021,13140
6/30/2021,22695
7/1/2021,17619
7/2/2021,20548
7/3/2021,6362
7/4/2021,5578
7/5/2021,8417
7/6/2021,27479
7/7/2021,26357
7/8/2021,27142
7/9/2021,32979
7/10/2021,11930
7/11/2021,12546
7/12/2021,35521
7/13/2021,34431
7/14/2021,41329
7/15/2021,48556
7/16/2021,106853
7/17/2021,15693
7/18/2021,12279
7/19/2021,52450
7/20/2021,39828
7/21/2021,51422
7/22/2021,50691
7/23/2021,66786
7/24/2021,36055
7/25/2021,25628
7/26/2021,99501
7/27/2021,81825
7/28/2021,99910
7/29/2021,90412
7/30/2021,101783
7/31/2021,60618
8/1/2021,34435
8/2/2021,127298
8/3/2021,119916
8/4/2021,134688
8/5/2021,118947
8/6/2021,128721
8/7/2021,59678
8/8/2021,43101
8/9/2021,193872
8/10/2021,137716
8/11/2021,145260
8/12/2021,145429
8/13/2021,145120
8/14/2021,65615
8/15/2021,47387
8/16/2021,216440
8/17/2021,131391
8/18/2021,179786
8/19/2021,145251
8/20/2021,142341
8/21/2021,96160
8/22/2021,50759
8/23/2021,258508
8/24/2021,142155
8/25/2021,191423
8/26/2021,174778
8/27/2021,148600
8/28/2021,102594
8/29/2021,38110
8/30/2021,260497
8/31/2021,175779
9/1/2021,209472
9/2/2021,160517
9/3/2021,155994
9/4/2021,32023
9/5/2021,113814
9/6/2021,67421
9/7/2021,287264
9/8/2021,198012
9/9/2021,147709
9/10/2021,158704
9/11/2021,87879
9/12/2021,44331
9/13/2021,270231
9/14/2021,136626
9/15/2021,182371
9/16/2021,128384
9/17/2021,162708
9/18/2021,86868
9/19/2021,27674
9/20/2021,203231
9/21/2021,127889
9/22/2021,164052
9/23/2021,123864
9/24/2021,117211
9/25/2021,64414
9/26/2021,35620
9/27/2021,179268
9/28/2021,116296
9/29/2021,143945
9/30/2021,103396
10/1/2021,111023
10/2/2021,57218
10/3/2021,24904
10/4/2021,174716
10/5/2021,89404
10/6/2021,133132
10/7/2021,98735
10/8/2021,100338
10/9/2021,46503
10/10/2021,21805
10/11/2021,118867
10/12/2021,96921
10/13/2021,131930
10/14/2021,83608
10/15/2021,91987
10/16/2021,32652
10/17/2021,20997
10/18/2021,114717
10/19/2021,86690
10/20/2021,84452
10/21/2021,70358
10/22/2021,88326
10/23/2021,41682
10/24/2021,22899
10/25/2021,115491
10/26/2021,74998
10/27/2021,86583
10/28/2021,74164
10/29/2021,104618
10/30/2021,28531
10/31/2021,22103
11/1/2021,112037
11/2/2021,69313
11/3/2021,91150
11/4/2021,66439
11/5/2021,109243
11/6/2021,30908
11/7/2021,28902
11/8/2021,113577
11/9/2021,71218
11/10/2021,108711
11/11/2021,58701
11/12/2021,136690
11/13/2021,46574
11/14/2021,21396
11/15/2021,154157
11/16/2021,72617
11/17/2021,117016
11/18/2021,112415
11/19/2021,119039
11/20/2021,30922
11/21/2021,28750
11/22/2021,169655
11/23/2021,90325
11/24/2021,119152
11/25/2021,31710
11/26/2021,85504
11/27/2021,27540
11/28/2021,22085
11/29/2021,189591
11/30/2021,100067
12/1/2021,150499
12/2/2021,122391
12/3/2021,162474
12/4/2021,37480
12/5/2021,44845
12/6/2021,194651
12/7/2021,102129
12/8/2021,151025
12/9/2021,131353
12/10/2021,167710
12/11/2021,38591
12/12/2021,44570
12/13/2021,201138
12/14/2021,112207
12/15/2021,156042
12/16/2021,153175
12/17/2021,170816
12/18/2021,112548
12/19/2021,72050
12/20/2021,289531
12/21/2021,194319
12/22/2021,242409
12/23/2021,299690
12/24/2021,212701
12/25/2021,103725
12/26/2021,219493
12/27/2021,452176
12/28/2021,338886
12/29/2021,511371
12/30/2021,523399
12/31/2021,633168
1/1/2022,251140
1/2/2022,191150
1/3/2022,1082769
1/4/2022,618974
1/5/2022,571871
1/6/2022,1095917
1/7/2022,778560
1/8/2022,605536
1/9/2022,379049
1/10/2022,1226154
1/11/2022,672935
1/12/2022,793270
1/13/2022,990060
1/14/2022,807963
1/15/2022,268978
1/16/2022,518351
1/17/2022,813841
1/18/2022,951847
1/19/2022,1065195
1/20/2022,617402
1/21/2022,641671
1/22/2022,267412
1/23/2022,255482
1/24/2022,1000541
1/25/2022,419227
1/26/2022,678075
1/27/2022,503303
1/28/2022,433335
1/29/2022,155462
1/30/2022,90758
1/31/2022,637385
2/1/2022,342768
2/2/2022,289235
2/3/2022,287418
2/4/2022,302256
2/5/2022,97386
2/6/2022,173228
2/7/2022,310723
2/8/2022,136116
2/9/2022,222366
2/10/2022,168000
2/11/2022,185451
2/12/2022,79907
2/13/2022,45103
2/14/2022,176293
2/15/2022,91699
2/16/2022,115254
2/17/2022,86426
2/18/2022,108296
2/19/2022,72504
2/20/2022,27999
2/21/2022,71365
2/22/2022,58110
2/23/2022,113719
2/24/2022,49616
2/25/2022,89278
2/26/2022,17878
2/27/2022,34293
2/28/2022,76285
3/1/2022,46962
3/2/2022,49404
3/3/2022,35079
3/4/2022,59229
3/5/2022,19886
3/6/2022,7380
3/7/2022,51950
3/8/2022,30079
3/9/2022,58493
3/10/2022,33120
3/11/2022,48585
3/12/2022,10910
3/13/2022,11143
3/14/2022,39036
3/15/2022,25002
3/16/2022,31242
3/17/2022,23816
3/18/2022,27226
3/19/2022,51573
3/20/2022,14456
3/21/2022,33797
3/22/2022,23243
3/23/2022,37892
3/24/2022,33218
3/25/2022,34740
3/26/2022,14234
3/27/2022,7731
3/28/2022,47932
3/29/2022,27611
3/30/2022,48584
3/31/2022,34408
4/1/2022,34572
4/2/2022,14810
4/3/2022,9210
4/4/2022,39032
4/5/2022,28909
4/6/2022,32264
4/7/2022,28308
4/8/2022,40825
4/9/2022,11947
4/10/2022,22911
4/11/2022,46449
4/12/2022,25311
4/13/2022,57368
4/14/2022,45468
4/15/2022,36457
4/16/2022,13314
4/17/2022,25137
4/18/2022,46812
4/19/2022,52212
4/20/2022,66295
4/21/2022,43610
4/22/2022,45270
4/23/2022,36109
4/24/2022,15488
4/25/2022,62147
4/26/2022,45745
4/27/2022,93625
4/28/2022,56340
4/29/2022,54938
4/30/2022,44282
5/1/2022,25540
5/2/2022,73293
5/3/2022,51725
5/4/2022,107886
5/5/2022,75778
5/6/2022,63475
5/7/2022,70784
5/8/2022,15051
5/9/2022,116156
5/10/2022,64826
5/11/2022,169070
5/12/2022,69404
5/13/2022,78321
5/14/2022,27169
5/15/2022,108243
5/16/2022,119804
5/17/2022,78604
5/18/2022,192491
5/19/2022,83591
5/20/2022,71830
5/21/2022,84623
5/22/2022,60689
5/23/2022,90489
5/24/2022,67483
5/25/2022,199357
5/26/2022,132847
5/27/2022,71044
5/28/2022,81621
5/29/2022,27585
5/30/2022,69375
5/31/2022,88446
6/1/2022,172639
6/2/2022,84857
6/3/2022,96682
6/4/2022,24805
6/5/2022,37288
6/6/2022,166422
6/7/2022,60269
6/8/2022,174191
6/9/2022,54890
6/10/2022,130792
6/11/2022,27176
6/12/2022,94587
6/13/2022,91280
6/14/2022,82214
6/15/2022,220551
6/16/2022,93412
6/17/2022,110653
6/18/2022,110657
6/19/2022,41056
6/20/2022,64978
6/21/2022,110301
6/22/2022,185156
6/23/2022,88062
6/24/2022,123018
6/25/2022,41205
6/26/2022,52923
6/27/2022,100151
6/28/2022,76809
6/29/2022,245714
6/30/2022,121409
7/1/2022,95573
7/2/2022,34327
7/3/2022,44435
7/4/2022,57705
7/5/2022,128131
7/6/2022,198643
7/7/2022,130481
7/8/2022,107482
7/9/2022,51978
7/10/2022,35722
7/11/2022,136746
7/12/2022,88092
7/13/2022,177767
7/14/2022,189391
7/15/2022,80544
7/16/2022,42025
7/17/2022,56580
7/18/2022,151871
7/19/2022,128421
7/20/2022,205013
7/21/2022,124664
7/22/2022,137914
7/23/2022,30035
7/24/2022,39642
7/25/2022,156162
7/26/2022,76699
7/27/2022,282569
7/28/2022,117344
7/29/2022,101316
7/30/2022,29905
7/31/2022,36153
8/1/2022,133232
8/2/2022,97229
8/3/2022,198070
8/4/2022,119057
8/5/2022,111862
8/6/2022,23938
8/7/2022,31415
8/8/2022,85864
8/9/2022,120985
8/10/2022,172985
8/11/2022,105856
8/12/2022,99202
8/13/2022,21000
8/14/2022,27850
8/15/2022,144025
8/16/2022,95175
8/17/2022,146352
8/18/2022,92524
8/19/2022,95040
8/20/2022,29416
8/21/2022,11963
8/22/2022,92593
8/23/2022,91480
8/24/2022,150185
8/25/2022,92019
8/26/2022,71934
8/27/2022,17318
8/28/2022,79037
8/29/2022,73503
8/30/2022,37386
8/31/2022,167432
9/1/2022,79383
9/2/2022,41949
9/3/2022,9826
9/4/2022,17616
9/5/2022,97971
9/6/2022,95668
9/7/2022,152368
9/8/2022,66127
9/9/2022,37892
9/10/2022,24640
9/11/2022,34316
9/12/2022,-2237
9/13/2022,52810
9/14/2022,82055
9/15/2022,94841
9/16/2022,30925
9/17/2022,5675
9/18/2022,38497
9/19/2022,39199
9/20/2022,49426
9/21/2022,91183
9/22/2022,78775
9/23/2022,26653
9/24/2022,15330
9/25/2022,46440
9/26/2022,39112
9/27/2022,38666
9/28/2022,77955
9/29/2022,37022
9/30/2022,19968
10/1/2022,5670
10/2/2022,31290
10/3/2022,30238
10/4/2022,39954
10/5/2022,86586
10/6/2022,32929
10/7/2022,19370
10/8/2022,3754
